Application:, Trigno Discover (1.7.0)
Date/Time:, 11/4/2024 10:23:56 AM
Collection Length (seconds):, 12.1365
Avanti Sensor 0 (64624), , Avanti Sensor 2 (64680)
sensor mode: 40, , sensor mode: 609
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 2148.1481 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz
0.0484138, 0.0224918, 0.2808, 0.4560547, 0.2808, -0.6313477, 0.2808, 0.5439453, 0.2808, -0.1219512, 0.2808, 18.2317085, 0.2808, -5.1829271
0.0488793, 0.0206455, 0.2835, 0.4521484, 0.2835, -0.6235352, 0.2835, 0.5419922, 0.2835, -0.4268293, 0.2835, 17.3170738, 0.2835, -4.7560978
0.0493448, 0.0186313, 0.2862, 0.4526367, 0.2862, -0.6225586, 0.2862, 0.5463867, 0.2862, -0.8536586, 0.2862, 15.060976, 0.2862, -4.2682929
0.0498103, 0.01561, 0.2889, 0.4560547, 0.2889, -0.6181641, 0.2889, 0.5478516, 0.2889, -0.9756098, 0.2889, 14.4512196, 0.2889, -4.0243902
0.0502759, 0.0112459, 0.2916, 0.4589844, 0.2916, -0.6176758, 0.2916, 0.5483398, 0.2916, -1.5243902, 0.2916, 13.1707315, 0.2916, -3.7195122
0.0507414, 0.0048676, 0.2943, 0.465332, 0.2943, -0.6103516, 0.2943, 0.5507812, 0.2943, -1.7682927, 0.2943, 12.7439032, 0.2943, -3.2926829
0.0512069, -0.0025177, 0.297, 0.4658203, 0.297, -0.6064453, 0.297, 0.5546875, 0.297, -1.9512196, 0.297, 11.280488, 0.297, -2.7439024
0.0516724, -0.0082246, 0.2997, 0.4746094, 0.2997, -0.6064453, 0.2997, 0.5571289, 0.2997, -2.4390244, 0.2997, 10.7926836, 0.2997, -2.3780489
0.0521379, -0.0125887, 0.3024, 0.4755859, 0.3024, -0.6044922, 0.3024, 0.5537109, 0.3024, -3.1707318, 0.3024, 9.5731707, 0.3024, -1.402439
0.0526034, -0.0152743, 0.3051, 0.4819336, 0.3051, -0.5981445, 0.3051, 0.5581055, 0.3051, -3.4146342, 0.3051, 9.0243902, 0.3051, -0.5487805
0.053069, -0.0182956, 0.3078, 0.4794922, 0.3078, -0.6030273, 0.3078, 0.5610352, 0.3078, -3.4146342, 0.3078, 8.719512, 0.3078, -0.1219512
0.0535345, -0.0243381, 0.3105, 0.484375, 0.3105, -0.6035156, 0.3105, 0.5541992, 0.3105, -3.8414636, 0.3105, 8.4756098, 0.3105, 0.6707317
0.054, -0.0293736, 0.3132, 0.4833984, 0.3132, -0.6005859, 0.3132, 0.5561523, 0.3132, -4.0243902, 0.3132, 8.2317076, 0.3132, 1.1585366
0.0544655, -0.0310521, 0.3159, 0.4765625, 0.3159, -0.5986328, 0.3159, 0.5556641, 0.3159, -3.9634147, 0.3159, 8.0487804, 0.3159, 2.1341465
0.054931, -0.0317235, 0.3186, 0.4770508, 0.3186, -0.5986328, 0.3186, 0.5541992, 0.3186, -3.9634147, 0.3186, 8.1097565, 0.3186, 2.4390244
0.0553966, -0.0318914, 0.3213, 0.4731445, 0.3213, -0.6010742, 0.3213, 0.5546875, 0.3213, -4.2073174, 0.3213, 7.9268293, 0.3213, 3.0487804
0.0558621, -0.0318914, 0.324, 0.4672852, 0.324, -0.5952148, 0.324, 0.5532227, 0.324, -4.0853658, 0.324, 7.5609756, 0.324, 3.4756098
0.0563276, -0.0330663, 0.3267, 0.4682617, 0.3267, -0.5932617, 0.3267, 0.5517578, 0.3267, -3.5365853, 0.3267, 6.1585369, 0.3267, 4.1463413
0.0567931, -0.0340734, 0.3294, 0.4672852, 0.3294, -0.5893555, 0.3294, 0.5493164, 0.3294, -3.1097562, 0.3294, 5.4268293, 0.3294, 4.2073174
0.0572586, -0.0345769, 0.3321, 0.4663086, 0.3321, -0.5878906, 0.3321, 0.546875, 0.3321, -3.5365853, 0.3321, 4.1463413, 0.3321, 4.5121951
0.0577241, -0.0340734, 0.3348, 0.46875, 0.3348, -0.590332, 0.3348, 0.550293, 0.3348, -3.3536587, 0.3348, 3.6585367, 0.3348, 4.6341462
0.0581897, -0.0327306, 0.3375, 0.4711914, 0.3375, -0.5893555, 0.3375, 0.5498047, 0.3375, -3.0487804, 0.3375, 2.9878049, 0.3375, 4.9390244
0.0586552, -0.0307164, 0.3402, 0.472168, 0.3402, -0.5908203, 0.3402, 0.5576172, 0.3402, -3.0487804, 0.3402, 2.4390244, 0.3402, 5.1219511
0.0591207, -0.0273594, 0.3429, 0.4736328, 0.3429, -0.5878906, 0.3429, 0.5605469, 0.3429, -2.5609756, 0.3429, 1.7073171, 0.3429, 5.1829271
0.0595862, -0.0216526, 0.3456, 0.4741211, 0.3456, -0.5927734, 0.3456, 0.5571289, 0.3456, -2.195122, 0.3456, 1.1585366, 0.3456, 5.7317076
0.0600517, -0.0135958, 0.3483, 0.4741211, 0.3483, -0.5966797, 0.3483, 0.559082, 0.3483, -2.0731707, 0.3483, 0.3048781, 0.3483, 5.8536587
0.0605172, -0.0065461, 0.351, 0.4868164, 0.351, -0.5966797, 0.351, 0.5566406, 0.351, -1.7682927, 0.351, 0.0609756, 0.351, 6.2195125
0.0609828, -0.0080568, 0.3537, 0.4838867, 0.3537, -0.6040039, 0.3537, 0.5620117, 0.3537, -1.8292683, 0.3537, 0.1219512, 0.3537, 6.5243902
0.0614483, -0.0125887, 0.3564, 0.4868164, 0.3564, -0.6079102, 0.3564, 0.5610352, 0.3564, -1.5853659, 0.3564, 0.4268293, 0.3564, 6.2195125
0.0619138, -0.0139315, 0.3591, 0.4941406, 0.3591, -0.6103516, 0.3591, 0.5629883, 0.3591, -1.2804878, 0.3591, 0.7926829, 0.3591, 6.3414636
0.0623793, -0.0167849, 0.3618, 0.4931641, 0.3618, -0.6147461, 0.3618, 0.5629883, 0.3618, -1.0365853, 0.3618, 1.097561, 0.3618, 6.7682929
